Park_Name,Baseball,BMX_Skate,Campground,Day_Use,Football,Golf,Playground,Rugby,Soccer,Tennis,Volleyball
Antler Lake & Uncas Community Hall,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Antler Lake Community Grounds,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
St. Theresa Catholic School,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
Ardrossan Athletic Park,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO
Ardrossan Second Avenue Natural Park (East),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ardrossan Second Avenue Park (West),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ardrossan Senior Centre/Recreation Area,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Eton Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Balmoral Lake Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ball Lake Island Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Balmoral Heights Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Big Cypress Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Big Willow Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Brentwood Elementary School,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO
Broadmoor Village Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Brookville Ball Diamonds,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Brookville Community Grounds,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Carson Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Centennial Park,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO
Charlton Heights Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Broadmoor Lake Park,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES
Broadmoor Public Golf Course,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
Broadmoor Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Chatwin Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Christina Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Circlewood Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Meadowview Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Clarkdale Meadows Lake,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
Clarkdale Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Clover Bar Junior High School,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO
Clover Bar Ranch Lake Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Estates of Sherwood Park Sport Field Park,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
Little Willow Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Clover Bar Ranch Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Colchester Community Hall,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Colchester School,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Collingwood Cove Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Garden Park,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
Marion Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cottonwood Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Crystal Heights Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Davenport Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Maywood Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Community Centre Grounds,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Shadow Ridge Estates Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Craigavon Meadows Wetlands,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Dawson Drive Natural Area,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Craigavon Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Cranford Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Cranford Way Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Deville / North Cooking Lake Community Hall,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO
Davidson Creek Park,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Eastgate Lake,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
McPherson Park,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
Davidson Creek Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ecole Campbelltown School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Estates of Sherwood Park Central Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Estates of Sherwood Park North Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Estates of Sherwood Park South Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sherwood Park Natural Area,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Forrest Green Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Stannard Family Environmental Reserve,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Fountain Creek Lake Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Fountain Creek Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Fountain Creek Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Fountain Creek Sports Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Garland Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Foxboro Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
F.R. Haythorne Junior High School,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
Fultonvale Fastball,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Gateway Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
Gillies Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Gilmore Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Glen Allan Elementary School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Good Hope Community Hall,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Jean Vanier Catholic School,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
Josephburg Gymkhana,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Granada Natural Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Granville Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Hastings Lake Community Hall,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO
Kinsmen/Westboro Park,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO
Lakeland Ridge Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Heritage Hills Park,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Heritage Point Park,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Cooking Lake Sail Park,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Little Cypress Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Meadowood Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Merryvale Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Millennium Place Athletic Park,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO
Normandy Drive Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Nottingham Green Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Nottingham Park,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Parker Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Partridge Hill Community Hall,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Sandpiper Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Peacock Park,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Prairie Walk,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Privet Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Rainbow Park,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Regency Park,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Florian Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Ridge South Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Robin Hood Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Smeltzer House Grounds,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
South Cooking Lake Community Hall,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO
